Adresas , Rajonas, Kambarių sk, Plotas, Kaina, Šildymas, Pastato tipas, Metai
 Savanorių pr.,Naujamiestis,4,112,235000.0,Centriniskolektorinis.centrinis,Mūrinis,2009,
 A. Jakšto g.,Naujamiestis,5,117.22,477888.0,Centriniskolektorinis.centrinis,Mūrinis,2006,
 Paupio g.,Senamiestis,2,60.35,185000.0,Dujinis.kita,Mūrinis,1940,
 Vinco Kudirkos g.,Naujamiestis,4,110,255000.0,Dujinis.kita,Mūrinis,2000,
 Mindaugo g.,Senamiestis,3,73.4,197000.0,Centrinis.elektra.centriniskolektorinis,Mūrinis,2000,
 V. Grybo g.,Antakalnis,3,70,180000.0,Kita.elektra,Mūrinis,2005,
 Aguonų g.,Senamiestis,3,80,300000.0,Centriniskolektorinis.centrinis,Mūrinis,2009,
 Raugyklos g.,Senamiestis,1,31.3,93800.0,Dujinis,Mūrinis,2019,
 Raugyklos g.,Senamiestis,2,38.8,116400.0,Dujinis,Mūrinis,2019,
 Raugyklos g.,Senamiestis,3,57.7,166900.0,Dujinis,Mūrinis,2019,
 Raugyklos g.,Senamiestis,4,82.2,232800.0,Dujinis,Mūrinis,2019,
 Pylimėlių g.,Antakalnis,2,45,111500.0,Centriniskolektorinis.centrinis,Mūrinis,2015,
 Teatro g.,Naujamiestis,4,156,500000.0,Centrinis,Mūrinis,2000,
 Rūdninkų g.,Senamiestis,6,80,270000.0,Kita.elektra,Mūrinis,1940,
 J. Basanavičiaus g.,Senamiestis,3,93,450000.0,Centrinis,Mūrinis,1940,
 Trinapolio g.,Žirmūnai,1,40.49,72900.0,Centriniskolektorinis,Mūrinis,2019,
 Kalvarijų g.,Žirmūnai,2,30.34,52000.0,Dujinis,Mūrinis,2019,
 Lazdynėlių g.,Lazdynėliai,2,42.85,68900.0,Centriniskolektorinis,Mūrinis,2020,
 Užupio g.,Senamiestis,2,47.75,129000.0,Geoterminis,Mūrinis,2019,
 Turniškių g.,Valakampiai,2,61,225000.0,Geoterminis,Monolitinis,2017,
 A. Strazdelio g.,Senamiestis,5,102.77,297000.0,Centriniskolektorinis,Mūrinis,2010,
 Kazio Ulvydo g.,Baltupiai,2,47.25,99900.0,Centriniskolektorinis,Mūrinis,2015,
 Jono Kairiūkščio g.,Bajorai,1,42.21,76000.0,Centriniskolektorinis,Blokinis,2008,
 Rato g.,Valakampiai,3,71.78,180000.0,Dujinis,Mūrinis,2019,
 Trinapolio g.,Žirmūnai,2,57.66,95100.0,Centriniskolektorinis,Mūrinis,2019,
 Karaliaučiaus g.,Pilaitė,3,59.28,79383.0,Centrinis,Blokinis,2018,
 Trinapolio g.,Žirmūnai,3,75.28,128000.0,Centriniskolektorinis,Mūrinis,2019,
 Linkmenų g.,Šnipiškės,2,45.7,84900.0,Centriniskolektorinis,Blokinis,2019,
 Lvovo g.,Šnipiškės,2,47,124900.0,Centriniskolektorinis,Monolitinis,2012,
 Kęstučio g.,Žvėrynas,2,48.09,120500.0,Dujinis,Mūrinis,1962statyba.2017renovacija,
 Trinapolio g.,Baltupiai,1,40.08,72140.0,Kita,Mūrinis,2019,
 Žirgo g.,Antakalnis,3,85,170000.0,Centriniskolektorinis,Monolitinis,2004,
 Jonažolių g.,Lazdynai,2,62,117000.0,Centriniskolektorinis,Mūrinis,2007,
 Totorių g.,Senamiestis,4,84,260000.0,Aeroterminis,Mūrinis,1940,
 Aguonų g.,Senamiestis,3,70.15,188248.0,Centriniskolektorinis,Mūrinis,2016,
 Karaliaučiaus g.,Pilaitė,4,90.34,89000.0,Aeroterminis,Mūrinis,2018,
 Pylimo g.,Senamiestis,4,143.98,249000.0,Dujinis,Mūrinis,1940,
 Vytenio g.,Naujamiestis,2,50,125000.0,Centriniskolektorinis,Mūrinis,2009,
 Trinapolio g.,Žirmūnai,3,53.99,89100.0,Centriniskolektorinis,Mūrinis,2019,
 Pajautos g.,Pilaitė,2,56.35,85000.0,Centrinis,Mūrinis,2000,
 Aguonų g.,Senamiestis,3,73.5,216000.0,Centrinis.centriniskolektorinis,Mūrinis,2009,
 Jurgio Lebedžio g.,Baltupiai,1,22.66,38500.0,Centriniskolektorinis,Mūrinis,2019,
 Jurgio Lebedžio g.,Baltupiai,2,30.29,49900.0,Centriniskolektorinis,Mūrinis,2019,
 Markučių g.,Senamiestis,5,137.27,249000.0,Geoterminis,Mūrinis,2019,
 Užupio g.,Užupis,3,73.15,179000.0,Geoterminis,Mūrinis,2019,
 Minties g.,Žirmūnai,2,43.94,67900.0,Centrinis,Blokinis,1966statyba.2015renovacija,
 Mindaugo g.,Senamiestis,1,28.83,75300.0,Centrinis,Mūrinis,1940,
 Mindaugo g.,Naujamiestis,1,28.83,75300.0,Centrinis,Mūrinis,1940,
 Bokšto g.,Senamiestis,3,66.17,245000.0,Centriniskolektorinis,Mūrinis,2018,
 Lentupio g.,Antakalnis,4,99.74,164000.0,Centrinis,Mūrinis,1985,
 Konstitucijos pr.,Šnipiškės,2,54.53,130054.0,Centriniskolektorinis,Monolitinis,2019,
 Olandų g.,Antakalnis,2,34,49000.0,Centrinis,Mūrinis,1972,
 M. Jankaus g.,Pilaitė,2,62,89500.0,Centriniskolektorinis,Mūrinis,2007,
 Algirdo g.,Senamiestis,2,39.57,99300.0,Centrinis,Mūrinis,1940,
 Algirdo g.,Senamiestis,1,22,61000.0,Centrinis,Mūrinis,1940,
 Siesikų g.,Šeškinė,3,55.66,110400.0,Centriniskolektorinis,Kita,2019,
 Subačiaus g.,Senamiestis,3,71,205000.0,Kietukuru,Mūrinis,1940,
 Lazdynėlių g.,Lazdynėliai,3,68.7,131000.0,Dujinis,Mūrinis,2018,
 Santariškių g.,Santariškės,2,48,92000.0,Centriniskolektorinis,Mūrinis,2006,
 Laisvės pr.,Pašilaičiai,1,27.91,51000.0,Centriniskolektorinis,Mūrinis,2019,
 Laisvės pr.,Pašilaičiai,2,44.68,67500.0,Centriniskolektorinis,Mūrinis,2018,
 Laisvės pr.,Pašilaičiai,2,57.67,68000.0,Centriniskolektorinis,Mūrinis,2019,
 Laisvės pr.,Fabijoniškės,2,41.87,65000.0,Centriniskolektorinis,Mūrinis,2019,
 Laisvės pr.,Pašilaičiai,2,44.68,67500.0,Centriniskolektorinis,Mūrinis,2019,
 Lazdynėlių g.,Lazdynėliai,2,43.81,69000.0,Centriniskolektorinis,Mūrinis,2019,
 Jurgio Lebedžio g.,Baltupiai,3,45.67,76500.0,Centriniskolektorinis,Mūrinis,2019,
 Aukštaičių g.,Senamiestis,3,63.99,171213.0,Centriniskolektorinis,Mūrinis,2018,
 Aukštaičių g.,Senamiestis,4,90.77,408607.0,Centriniskolektorinis,Mūrinis,2019,
 Aukštaičių g.,Senamiestis,1,28.23,82076.0,Centriniskolektorinis,Mūrinis,2019,
 Aukštaičių g.,Užupis,2,56.56,166824.0,Centriniskolektorinis,Mūrinis,2019,
 Gedimino pr.,Senamiestis,2,53.3,129990.0,Centrinis,Mūrinis,1940,
